timestamp,bus,can_id,payload
1780704563.021597,vcan0,00A,00000000
1780704563.021631,vcan0,7D1,7F000000
1780704563.064013,vcan0,00A,00000000
1780704563.095588,vcan0,00A,00000000
1780704563.138846,vcan0,00A,00000000
1780704563.170605,vcan0,00A,00000000
1780704563.212597,vcan0,00A,00000000
1780704563.212650,vcan0,603,00
1780704563.212686,vcan0,604,00
1780704563.212723,vcan0,607,00000000
1780704563.243614,vcan0,00A,00000000
1780704563.287833,vcan0,00A,00000000
1780704563.287896,vcan0,7D1,7F000000
1780704563.319616,vcan0,00A,00000000
1780704563.362420,vcan0,00A,00000000
1780704563.393607,vcan0,00A,00000000
1780704563.436479,vcan0,00A,00000000
1780704563.436533,vcan0,603,00
1780704563.436578,vcan0,604,00
1780704563.436611,vcan0,607,00000000
1780704563.467604,vcan0,00A,00000000
1780704563.511689,vcan0,00A,00000000
1780704563.511739,vcan0,7D0,00000000
1780704563.511776,vcan0,606,00
1780704563.543609,vcan0,00A,00000000
1780704563.543648,vcan0,7D1,7F000000
1780704563.586107,vcan0,00A,00000000
1780704563.617621,vcan0,00A,00000000
1780704563.661065,vcan0,00A,00000000
1780704563.661119,vcan0,603,00
1780704563.661154,vcan0,604,00
1780704563.661201,vcan0,607,00000000
1780704563.692622,vcan0,00A,00000000
1780704563.736789,vcan0,00A,00000000
1780704563.767583,vcan0,00A,00000000
1780704563.810900,vcan0,00A,00000000
1780704563.810950,vcan0,7D1,7F000000
1780704563.842601,vcan0,00A,00000000
1780704563.885990,vcan0,00A,00000000
1780704563.886071,vcan0,603,00
1780704563.886103,vcan0,604,00
1780704563.886141,vcan0,607,00000000
1780704563.917593,vcan0,00A,00000000
1780704563.960268,vcan0,00A,00000000
1780704563.991613,vcan0,00A,00000000
1780704564.035456,vcan0,00A,00000000
1780704564.035510,vcan0,7D0,00000000
1780704564.035550,vcan0,606,00
1780704564.066599,vcan0,00A,00000000
1780704564.066636,vcan0,7D1,7F000000
1780704564.109239,vcan0,00A,00000000
1780704564.109305,vcan0,603,00
1780704564.109339,vcan0,604,00
1780704564.109372,vcan0,607,00000000
1780704564.140607,vcan0,00A,00000000
1780704564.184084,vcan0,00A,00000000
1780704564.215599,vcan0,00A,00000000
1780704564.258500,vcan0,00A,00000000
1780704564.289600,vcan0,00A,00000000
1780704564.332537,vcan0,00A,00000000
1780704564.332620,vcan0,7D1,7F000000
1780704564.332651,vcan0,603,00
1780704564.332681,vcan0,604,00
1780704564.332705,vcan0,607,00000000
1780704564.363608,vcan0,00A,00000000
1780704564.407562,vcan0,00A,00000000
1780704564.438635,vcan0,00A,00000000
1780704564.483877,vcan0,00A,00000000
1780704564.515589,vcan0,00A,00000000
1780704564.558714,vcan0,00A,00000000
1780704564.558770,vcan0,7D0,00000000
1780704564.558808,vcan0,603,00
1780704564.558842,vcan0,604,00
1780704564.558878,vcan0,606,00
1780704564.558913,vcan0,607,00000000
1780704564.590581,vcan0,00A,00000000
1780704564.590620,vcan0,7D1,7F000000
1780704564.633970,vcan0,00A,00000000
1780704564.665595,vcan0,00A,00000000
1780704564.708972,vcan0,00A,00000000
1780704564.740603,vcan0,00A,00000000
1780704564.783904,vcan0,00A,00000000
1780704564.784010,vcan0,603,00
1780704564.784043,vcan0,604,00
1780704564.784078,vcan0,607,00000000
1780704564.815585,vcan0,00A,00000000
1780704564.859319,vcan0,00A,00000000
1780704564.859376,vcan0,7D1,7F000000
1780704564.890616,vcan0,00A,00000000
1780704564.937357,vcan0,00A,00000000
1780704564.968607,vcan0,00A,00000000
1780704565.012911,vcan0,00A,00000000
1780704565.012970,vcan0,603,00
1780704565.013003,vcan0,604,00
1780704565.013036,vcan0,607,00000000
1780704565.044592,vcan0,00A,00000000
1780704565.088111,vcan0,00A,00000000
1780704565.088165,vcan0,7D0,00000000
1780704565.088210,vcan0,606,00
1780704565.119574,vcan0,00A,00000000
1780704565.119612,vcan0,7D1,7F000000
1780704565.162420,vcan0,00A,00000000
1780704565.193586,vcan0,00A,00000000
1780704565.238678,vcan0,00A,00000000
1780704565.238760,vcan0,603,00
1780704565.238814,vcan0,604,00
1780704565.238875,vcan0,607,00000000
1780704565.269577,vcan0,00A,00000000
1780704565.313148,vcan0,00A,00000000
1780704565.344599,vcan0,00A,00000000
1780704565.387455,vcan0,00A,00000000
1780704565.387518,vcan0,7D1,7F000000
1780704565.418576,vcan0,00A,00000000
1780704565.462432,vcan0,00A,00000000
1780704565.462487,vcan0,603,00
1780704565.462516,vcan0,604,00
1780704565.462547,vcan0,607,00000000
1780704565.493553,vcan0,00A,00000000
1780704565.537654,vcan0,00A,00000000
1780704565.569571,vcan0,00A,00000000
1780704565.612793,vcan0,00A,00000000
1780704565.612845,vcan0,7D0,00000000
1780704565.612891,vcan0,606,00
1780704565.644608,vcan0,00A,00000000
1780704565.644646,vcan0,7D1,7F000000
1780704565.687290,vcan0,00A,00000000
1780704565.687342,vcan0,603,00
1780704565.687375,vcan0,604,00
1780704565.687412,vcan0,607,00000000
1780704565.718570,vcan0,00A,00000000
1780704565.764822,vcan0,00A,00000000
1780704565.796550,vcan0,00A,00000000
1780704565.838975,vcan0,00A,00000000
1780704565.870537,vcan0,00A,00000000
1780704565.913885,vcan0,00A,00000000
1780704565.913986,vcan0,7D1,7F000000
1780704565.914038,vcan0,603,00
1780704565.914068,vcan0,604,00
1780704565.914096,vcan0,607,00000000
1780704565.945546,vcan0,00A,00000000
1780704565.990433,vcan0,00A,00000000
1780704566.021552,vcan0,00A,00000000
1780704566.065193,vcan0,00A,00000000
1780704566.096544,vcan0,00A,00000000
1780704566.141190,vcan0,00A,00000000
1780704566.141236,vcan0,7D0,00000000
1780704566.141266,vcan0,603,00
1780704566.141287,vcan0,604,00
1780704566.141316,vcan0,606,00
1780704566.141351,vcan0,607,00000000
1780704566.172542,vcan0,00A,00000000
1780704566.172579,vcan0,7D1,7F000000
1780704566.215264,vcan0,00A,00000000
1780704566.246590,vcan0,00A,00000000
1780704566.290957,vcan0,00A,00000000
1780704566.322542,vcan0,00A,00000000
1780704566.366097,vcan0,00A,00000000
1780704566.366239,vcan0,603,00
1780704566.366286,vcan0,604,00
1780704566.366320,vcan0,607,00000000
1780704566.397545,vcan0,00A,00000000
1780704566.440776,vcan0,00A,00000000
1780704566.440819,vcan0,7D1,7F000000
1780704566.472537,vcan0,00A,00000000
1780704566.515448,vcan0,00A,00000000
1780704566.546537,vcan0,00A,00000000
1780704566.589992,vcan0,00A,00000000
1780704566.590062,vcan0,603,00
1780704566.590099,vcan0,604,00
1780704566.590143,vcan0,607,00000000
1780704566.621558,vcan0,00A,00000000
1780704566.665968,vcan0,00A,00000000
1780704566.666018,vcan0,7D0,00000000
1780704566.666051,vcan0,606,00
1780704566.697559,vcan0,00A,00000000
1780704566.697596,vcan0,7D1,7F000000
1780704566.741555,vcan0,00A,00000000
1780704566.771576,vcan0,00A,00000000
1780704566.815367,vcan0,00A,00000000
1780704566.815422,vcan0,603,00
1780704566.815447,vcan0,604,00
1780704566.815474,vcan0,607,00000000
1780704566.846564,vcan0,00A,00000000
1780704566.890707,vcan0,00A,00000000
1780704566.921555,vcan0,00A,00000000
1780704566.964315,vcan0,00A,00000000
1780704566.964377,vcan0,7D1,7F000000
1780704566.995559,vcan0,00A,00000000
1780704567.039878,vcan0,00A,00000000
1780704567.039945,vcan0,603,00
1780704567.039976,vcan0,604,00
1780704567.040006,vcan0,607,00000000
1780704567.071544,vcan0,00A,00000000
1780704567.114673,vcan0,00A,00000000
1780704567.146545,vcan0,00A,00000000
1780704567.188976,vcan0,00A,00000000
1780704567.189024,vcan0,7D0,00000000
1780704567.189055,vcan0,606,00
1780704567.220551,vcan0,00A,00000000
1780704567.220587,vcan0,7D1,7F000000
1780704567.264299,vcan0,00A,00000000
1780704567.264353,vcan0,603,00
1780704567.264384,vcan0,604,00
1780704567.264417,vcan0,607,00000000
1780704567.295541,vcan0,00A,00000000
1780704567.338938,vcan0,00A,00000000
1780704567.370565,vcan0,00A,00000000
1780704567.414911,vcan0,00A,00000000
1780704567.446538,vcan0,00A,00000000
1780704567.489951,vcan0,00A,00000000
1780704567.490015,vcan0,7D1,7F000000
1780704567.490047,vcan0,603,00
1780704567.490076,vcan0,604,00
1780704567.490109,vcan0,607,00000000
1780704567.521563,vcan0,00A,00000000
1780704567.563556,vcan0,00A,00000000
1780704567.595534,vcan0,00A,00000000
1780704567.639066,vcan0,00A,00000000
1780704567.670560,vcan0,00A,00000000
1780704567.712819,vcan0,00A,00000000
1780704567.712888,vcan0,7D0,00000000
1780704567.712919,vcan0,603,00
1780704567.712946,vcan0,604,00
1780704567.712979,vcan0,606,00
1780704567.713017,vcan0,607,00000000
1780704567.744547,vcan0,00A,00000000
1780704567.744587,vcan0,7D1,7F000000
1780704567.789925,vcan0,00A,00000000
1780704567.821536,vcan0,00A,00000000
1780704567.863972,vcan0,00A,00000000
1780704567.895540,vcan0,00A,00000000
1780704567.938430,vcan0,00A,00000000
1780704567.938492,vcan0,603,00
1780704567.938523,vcan0,604,00
1780704567.938553,vcan0,607,00000000
1780704567.969532,vcan0,00A,00000000
1780704568.014341,vcan0,00A,00000000
1780704568.014419,vcan0,7D1,7F000000
1780704568.045545,vcan0,00A,00000000
1780704568.089623,vcan0,00A,00000000
1780704568.120543,vcan0,00A,00000000
1780704568.164848,vcan0,00A,00000000
1780704568.164897,vcan0,603,00
1780704568.164926,vcan0,604,00
1780704568.164954,vcan0,607,00000000
1780704568.196539,vcan0,00A,00000000
1780704568.240342,vcan0,00A,00000000
1780704568.240385,vcan0,7D0,00000000
1780704568.240417,vcan0,606,00
1780704568.271550,vcan0,00A,00000000
1780704568.271585,vcan0,7D1,7F000000
1780704568.315680,vcan0,00A,00000000
1780704568.347545,vcan0,00A,00000000
1780704568.391618,vcan0,00A,00000000
1780704568.391704,vcan0,603,00
1780704568.391732,vcan0,604,00
1780704568.391762,vcan0,607,00000000
1780704568.422544,vcan0,00A,00000000
1780704568.464597,vcan0,00A,00000000
1780704568.495558,vcan0,00A,00000000
1780704568.538920,vcan0,00A,00000000
1780704568.538981,vcan0,7D1,7F000000
1780704568.570522,vcan0,00A,00000000
1780704568.614642,vcan0,00A,00000000
1780704568.614700,vcan0,603,00
1780704568.614729,vcan0,604,00
1780704568.614758,vcan0,607,00000000
1780704568.645520,vcan0,00A,00000000
1780704568.689577,vcan0,00A,00000000
1780704568.720536,vcan0,00A,00000000
1780704568.764694,vcan0,00A,00000000
1780704568.764775,vcan0,7D0,00000000
1780704568.764829,vcan0,606,00
1780704568.795530,vcan0,00A,00000000
1780704568.795567,vcan0,7D1,7F000000
1780704568.838409,vcan0,00A,00000000
1780704568.838498,vcan0,603,00
1780704568.838528,vcan0,604,00
