timestamp,bus,can_id,payload
1780772879.911175,vcan0,60C,01
1780772879.921400,vcan0,60C,01
1780772879.931600,vcan0,60C,01
1780772879.941779,vcan0,60C,01
1780772879.950854,vcan0,606,00
1780772879.951972,vcan0,60C,01
1780772879.962142,vcan0,60C,01
1780772879.972327,vcan0,60C,01
1780772879.982498,vcan0,60C,01
1780772879.992655,vcan0,60C,01
1780772879.998836,vcan0,600,00000000
1780772879.998864,vcan0,601,00000000
1780772879.998883,vcan0,602,7F000000
1780772880.002843,vcan0,60C,01
1780772880.013040,vcan0,60C,01
1780772880.023189,vcan0,60C,01
1780772880.033303,vcan0,60C,01
1780772880.043428,vcan0,60C,01
1780772880.053567,vcan0,60C,01
1780772880.063695,vcan0,60C,01
1780772880.073822,vcan0,60C,01
1780772880.083962,vcan0,60C,01
1780772880.094087,vcan0,60C,01
1780772880.104197,vcan0,60C,01
1780772880.114323,vcan0,60C,01
1780772880.124465,vcan0,60C,01
1780772880.134602,vcan0,60C,01
1780772880.144718,vcan0,60C,01
1780772880.148166,vcan0,600,00000000
1780772880.148205,vcan0,601,00000000
1780772880.148227,vcan0,602,7F000000
1780772880.148251,vcan0,603,00
1780772880.148269,vcan0,604,00
1780772880.148291,vcan0,607,01000000
1780772880.154977,vcan0,60C,01
1780772880.165238,vcan0,60C,01
1780772880.175464,vcan0,60C,01
1780772880.185668,vcan0,60C,01
1780772880.195849,vcan0,60C,01
1780772880.205998,vcan0,60C,01
1780772880.216077,vcan0,60C,01
1780772880.226195,vcan0,60C,01
1780772880.236321,vcan0,60C,01
1780772880.246422,vcan0,60C,01
1780772880.256537,vcan0,60C,01
1780772880.266658,vcan0,60C,01
1780772880.276768,vcan0,60C,01
1780772880.286885,vcan0,60C,01
1780772880.296991,vcan0,60C,01
1780772880.307089,vcan0,60C,01
1780772880.317185,vcan0,60C,01
1780772880.327287,vcan0,60C,01
1780772880.337384,vcan0,60C,01
1780772880.347484,vcan0,60C,01
1780772880.355413,vcan0,600,00000000
1780772880.355461,vcan0,601,00000000
1780772880.355512,vcan0,602,7F000000
1780772880.355559,vcan0,603,00
1780772880.355601,vcan0,604,00
1780772880.355644,vcan0,607,01000000
1780772880.357635,vcan0,60C,01
1780772880.368055,vcan0,60C,01
1780772880.378345,vcan0,60C,01
1780772880.388504,vcan0,60C,01
1780772880.398628,vcan0,60C,01
1780772880.408742,vcan0,60C,01
1780772880.418847,vcan0,60C,01
1780772880.428931,vcan0,60C,01
1780772880.439039,vcan0,60C,01
1780772880.449192,vcan0,60C,01
1780772880.459319,vcan0,60C,01
1780772880.469419,vcan0,60C,01
1780772880.479517,vcan0,60C,01
1780772880.489623,vcan0,60C,01
1780772880.499734,vcan0,60C,01
1780772880.509831,vcan0,60C,01
1780772880.519927,vcan0,60C,01
1780772880.530031,vcan0,60C,01
1780772880.540123,vcan0,60C,01
1780772880.541892,vcan0,600,00000000
1780772880.541941,vcan0,601,00000000
1780772880.541969,vcan0,602,7F000000
1780772880.541994,vcan0,606,00
1780772880.550316,vcan0,60C,01
1780772880.556957,vcan0,603,00
1780772880.556988,vcan0,604,00
1780772880.557009,vcan0,607,01000000
1780772880.560520,vcan0,60C,01
1780772880.570704,vcan0,60C,01
1780772880.580862,vcan0,60C,01
1780772880.591011,vcan0,60C,01
1780772880.601193,vcan0,60C,01
1780772880.611372,vcan0,60C,01
1780772880.621537,vcan0,60C,01
1780772880.631698,vcan0,60C,01
1780772880.641870,vcan0,60C,01
1780772880.652021,vcan0,60C,01
1780772880.652870,vcan0,600,00000000
1780772880.652903,vcan0,601,00000000
1780772880.652935,vcan0,602,7F000000
1780772880.662143,vcan0,60C,01
1780772880.672252,vcan0,60C,01
1780772880.682361,vcan0,60C,01
1780772880.692470,vcan0,60C,01
1780772880.702584,vcan0,60C,01
1780772880.712696,vcan0,60C,01
1780772880.722799,vcan0,60C,01
1780772880.732947,vcan0,60C,01
1780772880.743059,vcan0,60C,01
1780772880.753167,vcan0,60C,01
1780772880.763276,vcan0,60C,01
1780772880.773379,vcan0,60C,01
1780772880.783504,vcan0,60C,01
1780772880.791571,vcan0,600,00000000
1780772880.791636,vcan0,601,00000000
1780772880.791671,vcan0,602,7F000000
1780772880.791700,vcan0,603,00
1780772880.791725,vcan0,604,00
1780772880.791758,vcan0,607,01000000
1780772880.793678,vcan0,60C,01
1780772880.803954,vcan0,60C,01
1780772880.814239,vcan0,60C,01
1780772880.824427,vcan0,60C,01
1780772880.834655,vcan0,60C,01
1780772880.844891,vcan0,60C,01
1780772880.855084,vcan0,60C,01
1780772880.865267,vcan0,60C,01
1780772880.875443,vcan0,60C,01
1780772880.885589,vcan0,60C,01
1780772880.895712,vcan0,60C,01
1780772880.905827,vcan0,60C,01
1780772880.915931,vcan0,60C,01
1780772880.926049,vcan0,60C,01
1780772880.936160,vcan0,60C,01
1780772880.946272,vcan0,60C,01
1780772880.956396,vcan0,60C,01
1780772880.966523,vcan0,60C,01
1780772880.976659,vcan0,60C,01
1780772880.986790,vcan0,60C,01
1780772880.996946,vcan0,60C,01
1780772881.007089,vcan0,60C,01
1780772881.011479,vcan0,600,00000000
1780772881.011519,vcan0,601,00000000
1780772881.011544,vcan0,602,7F000000
1780772881.011570,vcan0,603,00
1780772881.011594,vcan0,604,00
1780772881.011618,vcan0,607,01000000
1780772881.017298,vcan0,60C,01
1780772881.027583,vcan0,60C,01
